id,name,description,votes,sortorder
10277,James Martin Hayes," Roman Catholic prelate, Archbishop of Halifax (1967–1990)",0,9999
10278,David Huddleston, actor (The Big Lebowski Blazing Saddles Santa Claus: The Movie),0,9999
10279,René Landry, politician,0,9999
10280,Robert Mabro, economist,0,9999
10281,Franciszek Macharski," Roman Catholic cardinal, Archbishop of Kraków (1979–2005)",0,9999
10282,Juan Carlos Mesa, humorist,0,9999
10283,Álvaro Pérez Intriago," politician, member of the National Congress (1984–1986, 1996–2002), Mayor of Quito (1978–1982)",0,9999
10284,Greg Stemrick, football player (Houston Oilers),0,9999
10285,Neil Wilkinson," footballer (Blackburn Rovers, Port Vale, Crewe Alexandra)",0,9999
10286,Ahmed Zewail," scientist, laureate of the Nobel Prize in Chemistry (1999)",0,9999
10287,Shahram Amiri, nuclear scientist,0,9999
10288,Chris Amon, motor racing driver,0,9999
10289,Mansueto Bianchi," Roman Catholic prelate, Bishop of Volterra (2000–2006) and Pistoia (2006–2014)",0,9999
10290,Elizabeth Colson, social anthropologist,0,9999
10291,Russell Coughlin, footballer (Carlisle Plymouth Swansea),0,9999
10292,Louis Herman, marine biologist,0,9999
10293,Mel Hurtig, publisher and political activist,0,9999
10294,Abdul Jeelani," basketball player (Portland Trail Blazers, Dallas Mavericks)",0,9999
10295,Blake Krikorian, businessman and entrepreneur founder of Slingbox,0,9999
10296,Steve LaTourette, politician member of the U.S. House of Representatives for Ohio's 14th district (1995–2013),0,9999
10297,Ricci Martin, musician,0,9999
10298,Shakira Martin, model and beauty queen Miss Jamaica Universe (2011),0,9999
10299,Robert Rosencrans," businessman, chairman of C-SPAN",0,9999
10300,Irving Sablosky, diplomat,0,9999
10301,Elliot Tiber, artist and writer (Taking Woodstock: A True Story of a Riot a Concert and a Life),0,9999
10302,Jean Antone," professional wrestler (AWA, AJW, CSW)",0,9999
10303,Bruce Burrell, murderer,0,9999
10304,"David Dudley Dowd, Jr."," federal judge, member of the U.S. District Court for the Northern District of Ohio (1982–1996)",0,9999
10305,Patrice Munsel, coloratura soprano,0,9999
10306,Albert Nicholas, businessman and philanthropist,0,9999
10307,Robert Ramsay, baseball player (Seattle Mariners),0,9999
10308,Snaffu Rigor, singer and songwriter,0,9999
10309,Craven C. Rogers Jr., air force lieutenant general,0,9999
10310,Gaspar Saladino," comic letterer (Superman vs. Muhammad Ali, Arkham Asylum)",0,9999
10311,Zinaida Sharko, stage actress,0,9999
10312,Likas Tarigan," politician, member of the People's Consultative Assembly (1978–1988)",0,9999
10313,Charles Toubé," footballer (Tonnerre Yaoundé, national team)",0,9999
10314,Ducksy Walsh, handball player,0,9999
10315,Hans-Jürgen Appelrath, educator (University of Oldenburg),0,9999
10316,David Attwooll, poet and publisher,0,9999
10317,Shamim Ara, actress and director,0,9999
10318,Alan Bates," physician and politician, member of the Oregon House of Representatives (2001–2005) and Senate (since 2005)",0,9999
10319,Mahim Bora, writer,0,9999
10320,Leslie Brown, historian,0,9999
10321,Paul Byttebier, physician and civil servant,0,9999
10322,Sir Robin Chichester-Clark," politician, MP for Londonderry (1955–1974)",0,9999
10323,Joe Davis," footballer (Hibernian, Carlisle United)",0,9999
10324,Don Donnithorne, architect,0,9999
10325,Joellyn Duesberry, landscape artist,0,9999
10326,Alphons Egli," politician, member of the Federal Council (1983–1989)",0,9999
10327,Richard Fagan, songwriter and musician,0,9999
10328,Harold Hillman, scientist,0,9999
10329,Eleuterio Fernández Huidobro, politician Minister of Defence (since 2011),0,9999
10330,Vander Lee, singer-songwriter,0,9999
10331,Leovigildo López Fitoria," Roman Catholic prelate, Bishop of Granada (1972–2003)",0,9999
10332,Ines Mandl, biochemist,0,9999
10333,George E. Mendenhall, Biblical scholar,0,9999
10334,Annet Nieuwenhuyzen, actress,0,9999
10335,Sir Leonard Peach," civil servant, Chief Executive of the National Health Service (1986–1989)",0,9999
10336,Erling Ree-Pedersen," civil servant, Director of Tax Administration (1976–1982)",0,9999
10337,Salvador Q. Quizon," Roman Catholic prelate, Auxiliary Bishop of Lipa (1979–2002)",0,9999
10338,John Alan Robinson," philosopher, mathematician and computer scientist",0,9999
10339,Howard Schachman, biochemist,0,9999
10340,Guillermo Anderson, singer,0,9999
10341,Sid Applebaum," businessman, co-founder of Rainbow Foods",0,9999
10342,José Becerra," bantamweight boxer, world champion (1959–1960)",0,9999
10343,Philip Bialowitz, Holocaust survivor and resistance fighter,0,9999
10344,Chow Lien-hwa, Baptist minister and theologian,0,9999
10345,Helen Delich Bentley, politician member of the U.S. House of Representatives for Maryland's 2nd district (1985–1995),0,9999
10346,Joani Blank," entrepreneur (Good Vibrations), Butterfly vibrator inventor, author and feminist sex educator",0,9999
10347,Alfredo Bowman, herbalist,0,9999
10348,Art Demmas, football official,0,9999
10349,Alan Dossor, theatre director,0,9999
10350,Kenneth Durham," educationalist, headmaster of University College School",0,9999
10351,Midget Farrelly, surfer world champion (1965),0,9999
10352,Pete Fountain, clarinetist,0,9999
10353,Sally Katary, Egyptologist,0,9999
10354,Ercole Lupinacci," Catholic hierarch, Bishop of Lungro (1987–2010)",0,9999
10355,Temple Painter, harpsichordist and organist,0,9999
10356,Ivo Pitanguy, plastic surgeon,0,9999
10357,Brian Roberts, footballer (Richmond),0,9999
10358,Mel Slack," footballer (Southend United, Cambridge United)",0,9999
10359,Samuel Robin Spark, artist,0,9999
10360,Vietnam Veedu Sundaram, screenwriter and film director,0,9999
10361,Norman Twain," stage and film producer (Lean on Me, Bajour, My Dog Tulip)",0,9999
10362,Michael Walter," luger, world champion (1985)",0,9999
10363,Don Welch, poet and academic,0,9999
10364,Jan Wilsgaard, automobile designer (Volvo),0,9999
10365,Walter C. Young," politician, member of the Florida House of Representatives (1972–1992)",0,9999
10366,David M. Borden, jurist Justice of the Connecticut Supreme Court (1990–2007),0,9999
10367,John Boreland, loyalist activist,0,9999
10368,Yuri Bregel, historian,0,9999
10369,Larry Brink, football player (Los Angeles Rams),0,9999
10370,Gustavo Bueno, philosopher,0,9999
10371,Rodolfo Camacho, cyclist,0,9999
10372,Bryan Clauson, racing driver,0,9999
10373,Mito Croes, politician,0,9999
10374,Joe Duplin," sailor, world champion (1963)",0,9999
10375,H. F. Gierke III, judge,0,9999
10376,Jack Günthard," gymnast, Olympic champion (1952)",0,9999
10377,Anđelko Klobučar, composer and organist,0,9999
10378,Sagan Lewis, actress (St. Elsewhere Homicide: Life on the Street),0,9999
10379,Hans Ragnemalm, judge and academic,0,9999
10380,Sir Ronald Scott, sports administrator,0,9999
10381,Jack Sears, race and rally driver,0,9999
10382,Peter Stein, legal scholar,0,9999
10383,Roy Summersby," footballer (Crystal Palace, Millwall, Portsmouth)",0,9999
10384,B. E. Taylor," musician (""Vitamin L"")",0,9999
10385,Ivo Urbančič, philosopher,0,9999
10386,Janus van der Zande, marathon runner,0,9999
10387,Dolores Vargas, singer,0,9999
10388,Ruby Winters," soul singer (""Make Love to Me"", ""I Will"")",0,9999
10389,Nikola Anastasov, actor,0,9999
10390,Ali Baba, writer,0,9999
10391,Mikhail Bariban, Olympic triple jumper (1972),0,9999
10392,Doris Bohrer, intelligence operative,0,9999
10393,Mike Brumley, baseball player (Washington Senators),0,9999
10394,Makandal Daaga, political activist,0,9999
10395,Edward Daly," Catholic prelate, Bishop of Derry (1974–1993)",0,9999
10396,Željko Kopanja, newspaper editor,0,9999
10397,Jyothi Lakshmi, actress,0,9999
10398,Vijaya Nandasiri, actor and dramatist,0,9999
10399,Klaus Weber, biologist,0,9999
10400,George Yarno, football player (Tampa Bay Buccaneers Atlanta Falcons Houston Oilers),0,9999
10401,Bill Alsup, race car driver,0,9999
10402,Panchu Arunachalam, film writer (Kazhugu Paayum Puli) and director (Manamagale Vaa),0,9999
10403,Miguel José Asurmendi Aramendía," Roman Catholic prelate, Bishop of Tarazona (1990–1995) and Vitoria (1995–2016)",0,9999
10404,Susan Baer, transportation executive,0,9999
10405,Karl Bögelein, football player and coach (VfB Stuttgart),0,9999
10406,Barendra Krushna Dhal, journalist,0,9999
10407,Bill Dooley," football coach (North Carolina Tar Heels, Virginia Tech Hokies, Wake Forest Demon Deacons)",0,9999
10408,"Gerald Grosvenor, 6th Duke of Westminster", billionaire property developer,0,9999
10409,Fabio Garriba, actor (Slap the Monster on Page One),0,9999
10410,Siegbert Horn, slalom canoeist Olympic champion (1972),0,9999
10411,Barry Jenner, actor (Star Trek: Deep Space Nine Dallas Family Matters),0,9999
10412,Aftab Ghulam Nabi Kazi," politician, Governor of the State Bank of Pakistan (1978–1986)",0,9999
10413,Bob Kiley, public transport planner,0,9999
10414,Jimmy Levine, R&B musician and record producer,0,9999
10415,Jimmy D. Long, politician member of the Louisiana State Legislature (1968–2000),0,9999
10416,W. Carter Merbreier, television personality (Captain Noah and His Magical Ark),0,9999
10417,Ernst Neizvestny, sculptor,0,9999
10418,Kalikho Pul, politician Chief Minister of Arunachal Pradesh (2016) and MLA for Hayuliang (since 1995),0,9999
10419,Philippe Roberts-Jones, art historian,0,9999
10420,Wang Tuoh, writer and politician MLY for Keelung (1996–2008),0,9999
10421,Neill Armstrong," football player (Philadelphia Eagles) and coach (Edmonton Eskimos, Chicago Bears)",0,9999
10422,John Bennett, hurler (Cork),0,9999
10423,Des Calverley," football player (Fitzroy, Richmond)",0,9999
10424,Lovell Coleman, football player (Calgary Stampeders),0,9999
10425,C. Welborn Daniel, politician and judge,0,9999
10426,Donald Lee, cricketer,0,9999
10427,John H. Moore, anthropologist,0,9999
10428,Kenneth Osterberger," politician, member of the Louisiana Senate (1972–1992)",0,9999
10429,Harold Peterman," politician, member of the Delaware House of Representatives (since 2011)",0,9999
10430,Steve Pivovar, sports journalist (Omaha World-Herald),0,9999
10431,Sasi Shanker, film director (Kunjikoonan),0,9999
10432,Cynthia Szigeti, actress (Seinfeld Curb Your Enthusiasm),0,9999
10433,James J. Tietjen, scientist and businessman,0,9999
10434,Ideler Tonelli, politician,0,9999
10435,Gerhard Tötschinger, actor,0,9999
10436,Tom Wilson, football player and coach (Texas A&M Aggies),0,9999
10437,Hamdi Al Banbi," businessman and politician, Petroleum Minister (1991–1999)",0,9999
10438,Roly Bain, priest and clown,0,9999
10439,Charles Bawden, Mongolist,0,9999
10440,Leon Donohue," football player (San Francisco 49ers, Dallas Cowboys)",0,9999
10441,James B. Dunn," politician, member of the South Dakota Senate (1973–2000)",0,9999
10442,Elmo Fernando, jouranlist,0,9999
10443,Paul Friedrich, anthropologist and linguist,0,9999
10444,Hanif Mohammad, cricketer (national team),0,9999
10445,Sigbjørn Ravnåsen, politician,0,9999
10446,Francesco Sgalambro," Roman Catholic prelate, Bishop of Cefalù (2000–2009)",0,9999
10447,Len Steckler," photographer, illustrator and filmmaker",0,9999
10448,Thomas Steinbeck, writer and war photographer,0,9999
10449,Sir Ian Turbott," diplomat, Administrator of Antigua (1958–1964) and Grenada (1964–1967)",0,9999
10450,Glenn Yarbrough," folk singer (""Baby the Rain Must Fall"", ""It's Gonna Be Fine"", ""San Francisco Bay Blues"")",0,9999
10451,Keith Blunt, football coach (Sutton United Malmö Viking),0,9999
10452,Paul Kraabel, politician member of the Washington House of Representatives (1971–1975),0,9999
10453,Juan Pedro de Miguel," Olympic handball player (1980, 1984)",0,9999
10454,Alison Piepmeier, writer,0,9999
10455,Ljubomir Popović, painter,0,9999
10456,Sir Swinton Thomas, judge,0,9999
10457,Ruby Wilson, blues soul and gospel singer,0,9999
10458,Ettore Bernabei, television director and producer,0,9999
10459,Miguel Bortolini, politician,0,9999
10460,Connie Crothers, jazz pianist,0,9999
10461,Patricia English, actress,0,9999
10462,Gita Hall, actress (The Gun Runners),0,9999
10463,Allen Kelley," basketball player, Olympic champion (1960)",0,9999
10464,Pramukh Swami Maharaj, religious leader,0,9999
10465,Françoise Mallet-Joris, writer,0,9999
10466,Emidio Massi," politician, President of Marche (1978–1990)",0,9999
10467,S. P. Sarguna Pandian, politician,0,9999
10468,Michel Richard, chef,0,9999
10469,Adi Sasono," politician, Minister of Cooperatives and Small Businesses (1998–1999)",0,9999
10470,Joyce Carol Thomas," poet, playwright, motivational speaker, and author",0,9999
10471,Liam Tuohy," football player and manager (Shamrock Rovers, Newcastle United, national team)",0,9999
10472,Holger Ursin, physician,0,9999
10473,Marion Christopher Barry, construction company owner,0,9999
10474,Bi Chunfang, Shaoxing opera performer,0,9999
10475,Neil Black, oboist,0,9999
10476,Raphael Cheenath," Roman Catholic prelate, Archbishop of Cuttack-Bhubaneswar (1985–2011)",0,9999
10477,DJ Official, hip hop musician,0,9999
10478,Fyvush Finkel," actor (Picket Fences, Boston Public, A Serious Man), Emmy winner (1994)",0,9999
10479,"Robert Goff, Baron Goff of Chieveley", judge and law lord,0,9999
10480,Aboud Jumbe," politician, President of Zanzibar (1972–1984)",0,9999
10481,Hermann Kant, writer,0,9999
10482,Ron Vander Kelen," football player (Minnesota Vikings, Wisconsin Badgers), MVP of the 1963 Rose Bowl",0,9999
10483,Horst Meyer, physicist,0,9999
10484,Ken Meyer, football coach (San Francisco 49ers),0,9999
10485,Na. Muthukumar, lyricist,0,9999
10486,Edgar Peltenburg, archaeologist,0,9999
10487,Lorenzo Piani, singer and songwriter,0,9999
10488,Sohail Qaiser, squash player world champion (1985),0,9999
10489,Yasumitsu Toyoda, baseball player (Saitama Seibu Lions Tokyo Yakult Swallows),0,9999
10490,James Woolley," keyboardist (Nine Inch Nails, 2wo), Grammy winner (1993)",0,9999
10491,Hotaru Akane, pornographic actress,0,9999
10492,Dennis Akumu," politician, MP for Nyakach (1969–1973, 1992–1997)",0,9999
10493,Dick Assman, gas station manager,0,9999
10494,Dalian Atkinson," footballer (Ipswich Town, Aston Villa), tased",0,9999
10495,Choo-Choo Coleman, baseball player (New York Mets Philadelphia Phillies),0,9999
10496,Sarath de Abrew, judge,0,9999
10497,Solange Fasquelle, writer,0,9999
10498,Stefan Henze, canoeist and coach Olympic silver medalist (2004),0,9999
10499,Joseph Hone, spy writer,0,9999
10500,Bobby Hutcherson, jazz musician,0,9999
10501,Harold Kalina, politician,0,9999
10502,Alison Kelly, art historian,0,9999
10503,Monique Koeyers-Felida," politician, member of the Estates of Curaçao (2010–2015)",0,9999
10504,T. A. Razzaq, screenwriter (Perumazhakkalam),0,9999
10505,Bambi Sheleg, journalist and magazine editor,0,9999
10506,Makhenkesi Stofile," politician and diplomat, Premier of the Eastern Cape (1997–2004), Minister of Sport and Recreation (2004–2010), Ambassador to Germany (since 2011)",0,9999
10507,Richard Wackar, football and basketball coach (Rowan Profs),0,9999
10508,Jean-Guy Allard, journalist and author,0,9999
10509,Mauril Bélanger, politician MP for Ottawa—Vanier (since 1995),0,9999
10510,Andrew Florent, tennis player,0,9999
10511,Jorge García Isaza," Roman Catholic prelate, Vicar Apostolic of Tierradentro (1989–2003)",0,9999
10512,Charti Lal Goel, politician,0,9999
10513,Jemma Redmond, biotechnologist,0,9999
10514,Luis Álvaro de Oliveira Ribeiro," businessman, President of Santos FC (2010–2014)",0,9999
10515,Richard Seminack, Ukrainian Catholic hierarch Bishop of Saint Nicholas of Chicago (since 2003),0,9999
10516,Gurdial Singh, writer,0,9999
10517,Ken Thornett," rugby league player (Parramatta Eels, national team, Leeds)",0,9999
10518,John Timoney, police officer chief of Miami Police Department (2003–2010) Commissioner of the Philadelphia Police Department (1998–2002),0,9999
10519,George Anthan, journalist,0,9999
10520,Steve Arlin," baseball player (San Diego Padres, Cleveland Indians)",0,9999
10521,James R. Bennett, politician Secretary of State of Alabama (1993–2003 2013–2015),0,9999
